Description,Asset,Asset Type,Route Name,Source Name,Source Mode,Source Interface,Source Address,Source Protocol,Source Port,S_SSM,Source State,Source BW,Last Update,Destination Name,Destination Protocol,Destination Port,Destination Mode,Destination Interface,Destination IP,Destination BW,Destination State,BW In Total,BW Out Total
SRT-ABC-01-001-1,SRT-ABC-01,Broadcast,001_ABC01_DITRIBUTION_DSPORTS2_P,DSPORTS2_P,multicast,eno2,239.195.6.6,UDP,8000,10.77.6.6,connected,13.941,06/04/26 11:17,ABC01_COBC01_DSPORTS_borrar,SRT,10032,caller,eno1,10.177.242.101,0.0,disconnected,453.37,450.28
SRT-ABC-01-001-2,SRT-ABC-01,Broadcast,001_ABC01_DITRIBUTION_DSPORTS2_P,DSPORTS2_P,,,,,,,,,06/04/26 11:17,ETB_P,SRT,10101,listener,eno1,0.0.0.0,13.948,connected,453.37,450.28
SRT-ABC-01-001-3,SRT-ABC-01,Broadcast,001_ABC01_DITRIBUTION_DSPORTS2_P,DSPORTS2_P,,,,,,,,,06/04/26 11:17,SIMPLE-TV,SRT,3102,caller,eno1,138.185.64.42,13.950,connected,453.37,450.28
SRT-ABC-01-003-1,SRT-ABC-01,Broadcast,003_ABC-ESPN2_CBC,NAT-ESPN2,multicast,eno2,239.77.16.110,UDP,8999,10.77.22.110,connected,20.429,06/04/26 11:17,ABC_CBC,SRT,10009,caller,,154.197.114.203,0.000,disconnected,453.37,450.28
SRT-ABC-01-004-1,SRT-ABC-01,Broadcast,004_ABC01_CBC01_HBO-HD_P,HBO-HD,multicast,eno2,239.77.16.48,UDP,8999,10.77.22.48,connected,40.858,06/04/26 11:17,ABC_CBC,SRT,10010,caller,eno1,154.197.114.203,0.0,disconnected,453.37,450.28
SRT-ABC-01-004-2,SRT-ABC-01,Broadcast,004_ABC01_CBC01_HBO-HD_P,HBO-HD,,,,,,,,,06/04/26 11:17,CBC01,SRT,10010,caller,eno1,10.133.92.150,40.858,connected,453.37,450.28
SRT-ABC-01-006-1,SRT-ABC-01,Broadcast,006_LATINA_TELECENTRO_ABC01_P,LATINA_P,listener,eno1,0.0.0.0,SRT,10006,0.0.0.0,connected,5.621,06/04/26 11:17,RCV-ABC-1069-P,UDP,10000,multicast,eno2,238.77.21.6,5.622,connected,453.37,450.28
SRT-ABC-01-007-1,SRT-ABC-01,Broadcast,007_CBC01-ABC01_DISTRIBUTION_Escuela Plus HD_P,Escuela Plus HD-CBC01_P,listener,eno1,0.0.0.0,SRT,10016,0.0.0.0,connected,12.265,06/04/26 11:17,ETB_P,SRT,10007,listener,eno1,0.0.0.0,12.259,connected,453.37,450.28
SRT-ABC-01-007-2,SRT-ABC-01,Broadcast,007_CBC01-ABC01_DISTRIBUTION_Escuela Plus HD_P,Escuela Plus HD-CBC01_P,,,,,,,,,06/04/26 11:17,lan,UDP,10000,multicast,eno2,238.77.21.77,12.259,connected,453.37,450.28
SRT-ABC-01-008-1,SRT-ABC-01,Broadcast,008_DTV-ECU_ABC01_P,DTV-ECU_P,caller,eno1,200.125.221.108,SRT,8000,0.0.0.0,connecting,0.0,06/04/26 11:17,LAN,UDP,10000,multicast,eno2,238.77.21.8,0.000,disconnected,453.37,450.28
SRT-ABC-01-009-1,SRT-ABC-01,Broadcast,009_TATA_ABC01_TELEDOCE_BK,TELEDOCE_BK,caller,eno1,157.151.25.14,SRT,10008,0.0.0.0,connected,7.665,06/04/26 11:17,RCV 1367B,UDP,10000,multicast,eno2,238.77.21.9,7.664,connected,453.37,450.28
SRT-ABC-01-010-1,SRT-ABC-01,Broadcast,010_TATA_ABC01_MONTE-CARLO_P,MONTE-CARLO_P,caller,eno1,157.151.25.14,SRT,10485,0.0.0.0,connected,8.154,06/04/26 11:17,RCV 1323 P,UDP,10000,multicast,eno2,238.77.21.10,8.158,connected,453.37,450.28
SRT-ABC-01-012-1,SRT-ABC-01,Broadcast,012_CBC_ABC_TATA CHN2_AD Insertion,CHN2_AD Insertion,listener,eno1,0.0.0.0,SRT,10032,0.0.0.0,connecting,0.0,06/04/26 11:17,lan,UDP,10000,multicast,eno2,238.77.21.12,0.0,disconnected,453.37,450.28
SRT-ABC-01-013-1,SRT-ABC-01,Broadcast,013_COBC02_ABC01_PID-MON-02,COBC02-PID-MON-02,listener,eno1,0.0.0.0,SRT,14005,0.0.0.0,connecting,0.0,06/04/26 11:17,DEC-TOC-02,UDP,10000,multicast,eno2,238.77.21.13,0.0,disconnected,453.37,450.28
SRT-ABC-01-014-1,SRT-ABC-01,Broadcast,014_CBC_ABC_TATA CHN3_PPV,TATA CHN3_PPV,listener,eno1,0.0.0.0,SRT,10033,0.0.0.0,connecting,0.0,06/04/26 11:17,lan,UDP,10000,multicast,eno2,238.77.21.14,0.0,disconnected,453.37,450.28
